ID,Sprint,Modulo,Epica,Tipo,Rol,Historia,Criterios_Aceptacion,Permisos_Requeridos,Tablas_Involucradas,Estimacion_Pts,Prioridad
F2C-A-01,A,Gantt,Modelo,TEC,Desarrollador,"Migración crear tablas Gantt + columnas calendario en proyectos","Migración 20260615 ejecuta sin error: agrega 3 columnas a gmc_proyectos, crea gmc_feriados con seed Chile 2026, crea gmc_hitos/actividades/dependencias, registra dominios correlativo y permisos","-","gmc_proyectos, gmc_hitos, gmc_actividades, gmc_actividad_dependencias, gmc_feriados, gmc_correlativos, gmc_permisos",5,Alta
F2C-A-02,A,Gantt,Modelo,TEC,Desarrollador,"Repos: HitoRepo, ActividadRepo, DependenciaRepo, FeriadoRepo","Cada repo hereda MY_Model, soft delete activo donde aplique, métodos especificos (listByProyecto, listByHito, getDependencias, etc)","-","gmc_hitos, gmc_actividades, gmc_actividad_dependencias, gmc_feriados",3,Alta
F2C-A-03,A,Gantt,Modelo,TEC,Desarrollador,"CalendarioService: cálculo de fechas con días laborales y feriados","Service expone esLaboral(fecha,proyecto), sumarDiasLaborales(fecha,n,proyecto), diasEntre(fecha1,fecha2,proyecto), respetando dias_laborales+trabaja_feriados+dias_laborales_custom","-","gmc_proyectos, gmc_feriados",5,Alta
F2C-A-04,A,Gantt,CRUD,HU,Jefe Proyecto/Gerencia,"Como JP quiero crear un hito en mi proyecto","Form simple: nombre, descripción, fecha_objetivo, orden. Genera código correlativo HT-OBR-AAAA-NNN-NN. Auditoría registra creación.","obras.gantt.editar","gmc_hitos, gmc_correlativos",3,Alta
F2C-A-05,A,Gantt,CRUD,HU,Jefe Proyecto/Gerencia,"Como JP quiero crear una actividad bajo un hito","Form: nombre, descripción, hito (selector), fecha_inicio_planificada, duracion_dias (calcula fecha_termino), responsable, orden. Correlativo ACT-OBR-AAAA-NNN-NNN.","obras.gantt.editar","gmc_actividades, gmc_correlativos",5,Alta
F2C-A-06,A,Gantt,CRUD,HU,Jefe Proyecto/Gerencia,"Como JP quiero editar un hito o actividad","Edición de campos básicos. Bloqueado si proyecto está cerrado. Auditoría con delta. Recalcula porcentaje_avance del hito si cambio activity.","obras.gantt.editar","gmc_hitos, gmc_actividades",3,Alta
F2C-A-07,A,Gantt,CRUD,HU,Jefe Proyecto/Gerencia,"Como JP quiero eliminar un hito o actividad","Soft delete. Si tiene dependencias, advertencia y borra cascada. Auditoría.","obras.gantt.editar","gmc_hitos, gmc_actividades, gmc_actividad_dependencias",3,Alta
F2C-A-08,A,Gantt,Calendario,HU,Jefe Proyecto/Gerencia,"Como JP quiero configurar el calendario laboral del proyecto","En la ficha del proyecto: dropdown 'Lun-Vie / Lun-Sab / Lun-Dom / Personalizado' + checkbox 'Trabaja feriados'. Si personalizado, multiselect de días.","maestros.proyecto.editar","gmc_proyectos",3,Media
F2C-A-09,A,Gantt,Calendario,HU,Admin,"Como admin quiero administrar feriados","CRUD de gmc_feriados. Edición sólo por admin. Carga masiva CSV opcional. Auditoría.","obras.feriado.editar","gmc_feriados",3,Media
F2C-A-10,A,Gantt,Lista,HU,Cualquier_rol,"Como usuario quiero ver lista plana de actividades del proyecto","Tabla DataTables: hito, actividad, fechas, %, responsable, estado. Filtros por hito, responsable, fechas, estado. Sólo lectura para roles sin .editar.","obras.gantt.ver","gmc_hitos, gmc_actividades",3,Alta
F2C-B-01,B,Gantt,Visualizador,TEC,Desarrollador,"Integrar Frappe Gantt con datos del proyecto","Vista /obras/gantt/{proyecto_id} muestra Gantt con todos los hitos+actividades. Días no laborales en gris. Colores: barras por hito + ruta crítica en rojo.","obras.gantt.ver","gmc_hitos, gmc_actividades",8,Alta
F2C-B-02,B,Gantt,Visualizador,HU,Jefe Proyecto/Gerencia,"Como JP quiero arrastrar una barra para mover/redimensionar la actividad","Drag&drop actualiza fechas via AJAX. Recálculo automático de dependientes respetando calendario. Auditoría.","obras.gantt.editar","gmc_actividades, gmc_actividad_dependencias",8,Alta
F2C-B-03,B,Gantt,Visualizador,HU,Cualquier_rol,"Como usuario quiero zoom diario/semanal/mensual","Tres botones cambian view_mode de Frappe Gantt. Persiste en localStorage por usuario.","obras.gantt.ver","-",2,Media
F2C-B-04,B,Gantt,Dependencias,HU,Jefe Proyecto/Gerencia,"Como JP quiero crear una dependencia entre dos actividades","Modal con: predecesor (selector), tipo (FS/SS/FF/SF), lag_dias. Visual: flecha entre barras en Gantt. Validar circulares.","obras.gantt.dependencia","gmc_actividad_dependencias",5,Alta
F2C-B-05,B,Gantt,Dependencias,HU,Jefe Proyecto/Gerencia,"Como JP quiero eliminar una dependencia","Click en flecha del Gantt + confirmación. Recalcula fechas dependientes.","obras.gantt.dependencia","gmc_actividad_dependencias",2,Alta
F2C-B-06,B,Gantt,Dependencias,TEC,Desarrollador,"Algoritmo de validación de dependencias circulares","Service detecta ciclos via DFS antes de guardar. Mensaje claro: 'Esta dependencia generaría un ciclo: A→B→C→A'.","-","gmc_actividad_dependencias",3,Alta
F2C-B-07,B,Gantt,Dependencias,TEC,Desarrollador,"Recálculo automático de fechas según dependencias","Al cambiar una actividad predecesora, las sucesoras se desplazan automáticamente respetando tipo+lag+calendario. Cascada controlada (no infinita).","-","gmc_actividades, gmc_actividad_dependencias",5,Alta
F2C-B-08,B,Gantt,Avance,HU,Jefe Proyecto/Gerencia,"Como JP quiero registrar el % de avance de cada actividad","Slider/input 0-100. Actualiza barra del Gantt visualmente. Recalcula porcentaje_avance del hito automáticamente. Auditoría.","obras.gantt.editar","gmc_actividades, gmc_hitos",3,Media
F2C-C-01,C,Gantt,CPM,TEC,Desarrollador,"Algoritmo Critical Path Method (CPM)","Service que calcula es_critica y holgura_dias para cada actividad usando forward+backward pass. Considera calendario del proyecto. Marca actividades críticas en rojo en Gantt.","-","gmc_actividades",8,Alta
F2C-C-02,C,Gantt,CPM,HU,Cualquier_rol,"Como usuario quiero ver la ruta crítica resaltada en el Gantt","Toggle 'Ver ruta crítica'. Las actividades críticas se muestran en rojo. Sidebar muestra duración total y holgura promedio.","obras.gantt.ver","gmc_actividades",2,Alta
F2C-C-03,C,Gantt,Alertas,TEC,Desarrollador,"Job CLI cli/gantt_alertas que envía correos de tareas retrasadas","Cron diario detecta actividades con fecha_termino_planificada < hoy y porcentaje_avance < 100. Envía correo al responsable + JP del proyecto. Encola en gmc_notificaciones.","-","gmc_actividades, gmc_notificaciones",3,Media
F2C-C-04,C,Gantt,Exporte,HU,Cualquier_rol,"Como usuario quiero exportar el Gantt a PDF","Botón 'Exportar PDF'. Renderiza Gantt vía html2canvas + mPDF. PDF apaisado A3, leyenda, ruta crítica, %.","obras.gantt.exportar","-",5,Media
F2C-C-05,C,Gantt,Exporte,HU,Cualquier_rol,"Como usuario quiero exportar el Gantt a PNG","Captura cliente-side con html2canvas. Descarga directa.","obras.gantt.exportar","-",2,Baja
F2C-C-06,C,Gantt,Reporte,HU,Gerencia/JP,"Como JP quiero ver reporte de avance vs planificado","Tabla con: hito, actividad, fecha planificada, fecha real, % planificado al día de hoy, % real, desviación días, semáforo verde/amarillo/rojo.","obras.gantt.ver","gmc_actividades",3,Alta
F2C-C-07,C,Gantt,Capacitacion,DOC,Tech Lead,"Capacitación específica de Gantt (60 min)","Sesión: planificación, hitos vs actividades, dependencias, ruta crítica, drag&drop. Datos sintéticos de demo. Acta firmada.","-","-",5,Alta
F2C-C-08,C,Gantt,Cierre,DOC,Tech Lead,"Acta de entrega Fase 2-C","Acta con criterios de aceptación verificados, alcance entregado, soporte 30 días, firmas.","-","-",2,Alta
